"","source","date","year","temperature","DO","salinity","potential_density","pres","cond","sampleID"
"1","CTD",2006-05-03 16:06:04,"2006",8.29436651865641,3.02962827682495,33.5498657226562,26.0951910018921,NA,NA,"20060503T090604"
"2","CTD",2006-07-17 17:41:27,"2006",8.04379987716675,3.20511833826701,33.3000335693359,25.93616994222,NA,NA,"20060717T104127"
"3","CTD",2006-08-07 18:24:14,"2006",7.71725833415985,2.25750249624252,33.7502835591634,26.3372834523519,NA,NA,"20060807T112414"
"4","CTD",2006-09-27 17:09:38,"2006",8.30000661214193,3.80060736338298,34.5341799418132,26.8662439982096,NA,NA,"20060927T100938"
"5","CTD",2006-10-03 00:42:56,"2006",7.78432144437517,0.533962147576468,33.8385712759835,26.3969850540161,NA,NA,"20061002T174256"
"6","CTD",2007-05-30 18:52:20,"2007",7.10070909153331,2.81219729510221,33.587363503196,26.2955630909313,NA,NA,"20070530T115220"
"7","CTD",2007-07-12 18:43:57,"2007",7.12574164072673,2.54276665051778,33.6646919250488,26.3531007766724,NA,NA,"20070712T114357"
"8","CTD",2007-08-08 18:07:41,"2007",7.10312734950672,2.82689913836392,33.7035810297186,26.3868083953857,NA,NA,"20070808T110741"
"9","CTD",2007-09-11 19:14:07,"2007",7.30803849146916,3.2803822847513,33.5246611375075,26.2177530435415,NA,NA,"20070911T121407"
"10","CTD",2007-10-13 20:30:42,"2007",8.96796145805946,3.41096230653616,33.0554536672739,25.6004780989427,NA,NA,"20071013T133042"
"11","CTD",2008-05-28 18:50:09,"2008",7.29405556784736,2.08751108911302,33.7089335123698,26.3646397060818,NA,NA,"20080528T115009"
"12","CTD",2008-07-16 19:39:34,"2008",6.79249993237582,1.82582727345553,33.8637906854803,26.5550866560502,NA,NA,"20080716T123934"
"13","CTD",2008-07-21 18:00:55,"2008",7.24366002082825,2.97951998710632,33.4875896453857,26.1974243164063,NA,NA,"20080721T110055"
"14","CTD",2008-09-05 23:41:39,"2008",7.43215566211277,2.42019997702705,33.6830554538303,26.3249626159668,NA,NA,"20080905T164139"
"15","CTD",2009-08-12 21:55:53,"2009",7.90850004783043,0.95962307544855,33.4341850280762,26.061341212346,NA,NA,"20090812T145553"
"16","CTD",2009-10-07 22:40:59,"2009",7.66569999286107,1.96660000937326,33.4879213060652,26.1385226930891,NA,NA,"20091007T154059"
"17","CTD",2010-06-06 16:16:02,"2010",9.23493754863739,5.21277505159378,32.4138622283936,25.0611906051636,NA,NA,"20100606T091602"
"18","CTD",2010-08-21 21:53:01,"2010",7.1849749883016,2.78349169095357,33.6823253631592,26.3588293393453,NA,NA,"20100821T145301"
"19","CTD",2010-09-16 22:08:16,"2010",8.01227697959313,2.06226152640123,33.4528767512395,26.0608884371244,NA,NA,"20100916T150816"
"20","CTD",2012-05-25 18:26:05,"2012",7.95736662546794,3.18892502784729,33.206516901652,25.8754369417826,NA,NA,"20120525T112605"
"21","CTD",2012-07-19 22:23:47,"2012",7.82153848501352,2.93754616150489,33.3564312274639,26.0128370431753,NA,NA,"20120719T152347"
"22","CTD",2012-08-28 21:10:27,"2012",8.13502502441406,2.11073334018389,33.4535338083903,26.0430800120036,NA,NA,"20120828T141027"
"23","CTD",2012-09-13 23:18:54,"2012",7.39433631029996,1.40546363050287,33.7032911127264,26.3461941805753,NA,NA,"20120913T161854"
"24","CTD",2012-09-21 18:33:38,"2012",7.60548463234535,1.56780000833365,33.5036069429838,26.1594159052922,NA,NA,"20120921T113338"
"25","CTD",2012-10-08 21:32:21,"2012",7.6804307790903,2.52204614419204,33.568730867826,26.1999111175537,NA,NA,"20121008T143221"
"26","CTD",2013-06-05 16:59:43,"2013",7.1086833079656,2.77375002702077,33.8402414321899,26.4936103820801,NA,NA,"20130605T095943"
"27","CTD",2013-07-24 00:21:26,"2013",7.38243081019475,3.25609999436599,33.592461512639,26.2605910668006,NA,NA,"20130723T172126"
"28","CTD",2013-08-31 20:01:36,"2013",9.59458335240682,2.71511666973432,33.1744422912598,25.5964535077413,NA,NA,"20130831T130136"
"29","CTD",2013-10-10 20:34:05,"2013",11.0710309101985,4.15131541398855,32.7231612572303,24.9939705775334,NA,NA,"20131010T133405"
"30","CTD",2014-06-13 02:04:32,"2014",7.07615004267011,2.17150713716234,33.7658497946603,26.4395251955305,NA,NA,"20140612T190432"
"31","CTD",2014-06-24 06:10:13,"2014",7.41633331775665,2.42533334096273,33.58615843455,26.2509732246399,NA,NA,"20140623T231013"
"32","CTD",2014-08-02 02:55:39,"2014",7.37913342316945,2.53418332338333,33.6209332148234,26.2835599581401,NA,NA,"20140801T195539"
"33","CTD",2014-09-07 02:43:41,"2014",7.53403076758751,2.40265384087196,33.5316153306227,26.1915586911715,NA,NA,"20140906T194341"
"34","CTD",2014-10-09 01:48:10,"2014",8.0198427609035,2.74636428696769,33.245614188058,25.8969808306013,NA,NA,"20141008T184810"
"35","CTD",2015-05-28 08:23:30,"2015",7.77352307393001,3.78315384571369,33.3264306875376,25.9961106226994,NA,NA,"20150528T012330"
"36","CTD",2015-07-15 05:11:01,"2015",7.82058462729821,2.69062306330754,33.4783463111291,26.1087179917556,NA,NA,"20150714T221101"
"37","CTD",2015-09-05 01:46:10,"2015",10.9963077398447,5.1414615557744,32.6199842599722,24.9284100165734,NA,NA,"20150904T184610"
"38","CTD",2015-09-29 23:36:08,"2015",8.37517145701817,3.79001428399767,33.2194140298026,25.8238156182425,NA,NA,"20150929T163608"
"39","CTD",2016-06-01 03:23:06,"2016",8.40811824798584,3.57583637671037,33.3420999700373,25.9151410189542,NA,NA,"20160531T202306"
"40","CTD",2016-06-29 02:49:28,"2016",8.07920000769875,3.08825456012379,33.4365813515403,26.0379623066295,NA,NA,"20160628T194928"
"41","CTD",2016-08-05 02:28:45,"2016",7.4836692076463,2.82611538813664,33.7416000366211,26.3637721721943,NA,NA,"20160804T192845"
"42","CTD",2016-09-07 04:30:01,"2016",8.42945377643292,1.70496923189897,33.630430661715,26.1377639770508,NA,NA,"20160906T213001"
"43","CTD",2016-10-10 03:32:32,"2016",11.7667333285014,4.28604161739349,32.0993582407633,24.3845346768697,NA,NA,"20161009T203232"
"44","CTD",2017-05-28 23:56:29,"2017",8.41491003036499,2.97850999832153,33.5340301513672,26.0646894454956,NA,NA,"20170528T165629"
"45","CTD",2017-07-12 05:28:50,"2017",7.88853850731483,2.60906155292804,33.6736611586351,26.2522437755878,NA,NA,"20170711T222850"
"46","CTD",2017-07-28 02:53:37,"2017",7.71733630787243,2.40699089657177,33.8120633905584,26.3858033960516,NA,NA,"20170727T195337"
"47","CTD",2017-08-30 23:42:44,"2017",8.19047498703003,2.69762500127157,33.6820163726807,26.2144172986348,NA,NA,"20170830T164244"
"48","CTD",2017-09-28 04:57:39,"2017",8.29999995231628,0.988041664163272,33.6936502456665,26.2071452140808,NA,NA,"20170927T215739"
"49","CTD",2018-06-13 03:26:02,"2018",8.8662428855896,2.60012856551579,33.3491856711251,25.849137033735,NA,NA,"20180612T202602"
"50","CTD",2018-07-11 04:39:44,"2018",8.51330002148946,2.24538332223892,33.536208152771,26.0511743227641,NA,NA,"20180710T213944"
"51","CTD",2018-09-15 03:23:47,"2018",9.5247000058492,1.72986667354902,33.4922002156576,25.8563305536906,NA,NA,"20180914T202347"
"52","CTD",2018-09-25 22:18:34,"2018",8.3132229584914,0.691723071611845,33.7179694542518,26.2240952711839,NA,NA,"20180925T151834"
"53","CTD",2019-05-29 03:14:27,"2019",8.57280895926736,2.58212728933855,33.3107819990678,25.8657559481534,NA,NA,"20190528T201427"
"54","CTD",2019-05-29 04:39:24,"2019",8.59428326288859,2.58485831816991,33.3072338104248,25.8597141901652,NA,NA,"20190528T213924"
"55","CTD",2019-06-26 23:02:39,"2019",7.47895002365112,2.24410714421953,33.7052435193743,26.3358481270926,NA,NA,"20190626T160239"
"56","CTD",2019-07-31 23:02:18,"2019",7.91406371376731,2.83461819995533,33.4957271922718,26.1088485717773,NA,NA,"20190731T160218"
"57","CTD",2019-08-29 22:58:25,"2019",7.81470827261607,2.2197083234787,33.6121168136597,26.2146771748861,NA,NA,"20190829T155825"
"58","CTD",2019-10-02 03:11:49,"2019",8.47202852794102,2.4785999911172,33.3306500571115,25.8965004512242,NA,NA,"20191001T201149"
"59","CTD",2020-08-04 08:06:14,"2020",7.57207504908244,3.39621663093567,33.3721418380737,26.0608053207397,NA,NA,"20200804T010614"
"60","CTD",2020-09-13 03:36:14,"2020",7.57244996229808,2.4190416932106,33.5536661148071,26.203444480896,NA,NA,"20200912T203614"
"61","CTD",2020-09-30 23:36:26,"2020",8.98423847785363,2.36088460225325,33.0874073322003,25.6257269932674,NA,NA,"20200930T163626"
"62","CTD",2021-06-09 04:52:10,"2021",7.62243076471182,2.55743844692524,33.5659388028658,26.2058737828181,NA,NA,"20210608T215210"
"63","CTD",2021-07-15 02:33:20,"2021",7.32585831483205,1.76889998714129,33.7554836273193,26.3967893918355,NA,NA,"20210714T193320"
"64","CTD",2021-08-27 22:31:42,"2021",7.65913638201627,1.59678181734952,33.5808091597124,26.2124311273748,NA,NA,"20210827T153142"
"65","CTD",2021-10-08 23:05:21,"2021",8.9316665649414,2.14309332370758,33.2213666280111,25.7390171051025,NA,NA,"20211008T160521"
"66","CTD",2022-05-25 02:28:29,"2022",7.60461107889811,2.83330000771417,33.4125883314345,26.0879408518473,NA,NA,"20220524T192829"
"67","CTD",2022-06-22 23:50:32,"2022",8.51207264986905,3.93326360529119,32.6994273445823,25.3942989002575,NA,NA,"20220622T165032"
"68","CTD",2022-07-21 06:45:51,"2022",7.49130912260576,2.36806364492937,33.589090867476,26.2427619587291,NA,NA,"20220720T234551"
"69","CTD",2022-08-23 00:54:56,"2022",7.70010913502086,2.04800001057712,33.3973995555531,26.062464280562,NA,NA,"20220822T175456"
"70","CTD",2022-09-21 01:44:09,"2022",7.90030002593994,1.01279999451204,33.4915913668546,26.1075002496893,NA,NA,"20220920T184409"
"71","CTD",2023-06-01 05:07:31,"2023",7.98034542257136,2.73647273670543,33.4812542308461,26.0877309279008,NA,NA,"20230531T220731"
"72","CTD",2023-06-17 05:02:56,"2023",8.07191822745583,2.73813635652716,33.5144639448686,26.1004574515603,NA,NA,"20230616T220256"
"73","CTD",2023-07-20 00:30:03,"2023",8.02211099200779,2.79866660965814,33.6421445210775,26.2079891628689,NA,NA,"20230719T173003"
"74","CTD",2023-08-31 07:13:24,"2023",8.21310005187988,0.392159998416901,33.6792400360107,26.2088514328003,NA,NA,"20230831T001324"
"75","CTD",2023-09-30 02:15:23,"2023",13.9849544871937,5.54659995165738,31.9775544946844,23.8627284656871,NA,NA,"20230929T191523"
